KEY	SRR1554537	SRR1554538	SRR1554568	SRR1554535	SRR1554536	SRR1554539
1	333	164	206	236	67	163
10	2	6	3	4	0	4
100	117	228	116	506	190	185
1000	32156	28749	26521	6351	1843	6461
10000	0	0	0	0	0	0
100008587	0	0	0	0	0	0
100008588	0	0	0	0	0	0
100008589	0	0	0	0	0	0
100009601	0	0	0	0	0	0
100009602	0	0	0	0	0	0
100009605	0	0	0	0	0	0
100009606	0	0	0	0	0	0
100009607	0	0	0	0	0	0
100009613	0	0	0	0	0	1
100009676	158	174	110	96	30	92
10001	2430	3401	2172	1367	266	1320
10002	84	98	88	50	15	32
10003	694	1624	711	1140	188	1383
100033411	7	7	6	2	0	1
100033413	7	21	4	2	4	1
100033414	4	11	7	0	0	1
100033415	1	5	0	0	0	0
100033416	72	124	83	22	6	22
100033417	1	1	1	0	0	2
100033418	3	9	4	2	0	4
100033419	3	13	2	2	0	1
100033420	6	3	4	1	0	0
100033421	2	0	4	5	1	5
100033422	0	1	0	0	0	0
100033423	0	0	0	0	0	0
100033424	5	4	0	10	1	10
100033425	6	6	0	1	1	1
100033426	4	6	4	4	0	2
100033427	6	4	2	3	0	2
100033428	1	2	1	0	0	0
100033429	1	0	3	0	0	1
100033430	2	6	0	2	0	6
100033431	41	50	33	5	12	5
100033432	58	61	54	0	5	21
100033433	6	13	12	6	0	10
100033434	4	8	0	4	0	4
100033435	5	29	15	1	0	16
100033436	0	4	1	0	1	1
100033437	0	1	1	0	0	0
100033438	1	14	2	3	2	8
100033439	11	9	5	12	2	25
100033440	0	0	0	1	0	0
100033441	0	3	0	4	0	6
100033442	0	0	0	1	0	2
100033443	2	0	0	0	0	0
100033444	0	0	0	0	0	0
100033445	0	0	0	1	0	1
100033446	0	0	0	0	0	0
100033447	0	0	0	0	0	0
100033448	0	0	0	0	0	0
100033449	2	2	1	3	1	3
100033450	7	8	2	7	0	16
100033451	0	0	0	4	2	0
100033453	0	0	0	0	0	0
100033454	0	0	0	0	0	0
100033455	0	0	0	2	0	0
100033456	0	0	0	0	0	0
100033458	0	0	0	0	0	0
100033460	5	9	1	6	2	10
100033603	6	1	1	5	1	9
100033799	1	1	0	11	0	5
100033800	0	0	0	0	0	0
100033801	0	0	0	0	0	2
100033802	3	3	2	4	0	7
100033803	0	0	0	0	0	0
100033804	0	0	0	0	0	0
100033805	0	0	0	0	0	4
100033806	0	2	0	2	0	1
100033807	0	0	0	0	0	0
100033808	0	0	2	0	0	0
100033809	1	0	1	6	3	4
100033810	0	1	0	2	0	4
100033811	0	2	0	2	2	0
100033812	0	0	0	0	0	0
100033813	0	0	0	3	0	0
100033814	1	0	0	0	1	0
100033815	0	0	1	1	0	0
100033816	0	0	0	0	0	0
100033817	0	0	0	0	0	0
100033818	0	3	0	1	0	0
100033819	0	0	0	0	0	0
100033820	7	21	7	0	0	2
100033821	0	1	1	1	0	1
100033822	0	0	0	0	0	0
100034743	59	120	65	60	12	50
100036563	0	0	0	3	0	0
100036564	0	0	0	2	0	0
100036565	0	0	0	0	0	0
100036566	13	15	10	22	1	27
100036567	0	0	1	0	0	0
100037417	0	0	0	0	0	0
100038246	0	0	0	0	0	0
10004	101	157	66	73	65	50
100048912	2	10	2	13	5	25
100049076	0	2	0	0	4	0
100049587	20	24	31	13	1	14
100049613	4	4	1	0	0	2
100049614	0	0	0	0	0	0
100049716	120	124	103	276	142	131
10005	1404	1529	1226	2321	393	1614
10006	5744	7500	4633	6652	1669	5778
10007	3301	4100	3199	3092	610	2259
100073347	102	130	299	29	33	202
10008	125	201	114	67	54	129
10009	7518	9268	5905	2084	385	2322
100093630	2454	1737	1403	1405	744	1027
100093631	639	1069	1035	384	165	358
100093698	0	0	0	0	0	0
1001	2420	1364	794	204	79	262
10010	3059	3868	4505	1700	483	1392
100101115	0	0	0	0	0	0
100101116	0	0	0	0	0	0
100101117	0	0	0	0	0	0
100101118	0	0	0	0	0	0
100101120	0	0	0	0	0	0
100101121	0	0	0	0	0	0
100101148	80	33	39	11	4	10
100101266	97	155	96	12	23	29
100101267	5755	6284	5437	3202	547	3082
100101440	3	5	2	0	0	2
100101467	3871	5956	4533	1455	423	1168
100101478	194	182	69	8	2	8
100101490	739	1060	824	398	91	292
100101938	0	0	0	11	0	1
10011	3351	3483	3214	1842	590	1179
100113378	8	3	4	3	1	0
100113379	0	1	2	0	0	0
100113380	0	0	0	0	0	0
100113381	52	63	64	8	3	14
100113382	0	3	0	1	0	0
100113384	0	4	0	0	0	2
100113386	252	543	125	35	5	28
100113389	20	20	12	4	0	3
100113391	0	2	0	0	0	0
100113392	3	2	1	0	0	0
100113393	12	24	34	0	2	7
100113402	0	3	0	0	0	0
100113403	3	4	9	29	3	28
100113404	0	0	0	0	0	0
